Observation Number,Site,Sex,Hindlimb Phalanx,Hindlimb Metatarsal,Tibia,Fibula,Femur,Pelvis Width,Metacarpal,Ulna,Radius,Humerus,Shoulder Width,Opening Inlever,Closing Inlever,Whole Head,Outlever,Snout Plus Eye,Snout,Real Eye Length,Frontal Parietal to Snout,Braincase Width,Head Width Retroarticulars,Head Width Jugals,Head Width Quadrates,Snout Width front of eye,Real Lower Jaw Length,Real Quadrate to Symphasis,Real Jugal to Symphysis,Real Orbit to Symphysis,Snout Vent Length,Locality,oldSVL
A31093,Oxford,M,3.691219871,6.015329457,9.680569652,9.397634559,12.22275207,6.138602823,2.601620073,7.380140441,6.40810753,10.13593755,7.403112239,2.154239882,4.079511316,18.91221712,16.75797724,12.67846592,7.075348351,6.005292197,13.07811529,2.599701183,7.816233408,10.21893557,9.798961914,5.919789102,19.31179391,17.45952726,13.6693146,7.669587955,6.312,Mississippi,6.57
A31094,Oxford,M,3.894069551,5.892595663,9.615717274,9.560962687,11.97427748,6.038086302,2.47409078,6.99084511,6.25553852,9.692640827,8.01068315,2.528472332,4.060618201,19.15398934,16.625517,12.5648988,6.741735993,6.310591387,13.139575,2.644303306,8.926880571,10.49727685,10.72846366,5.63323506,19.66717348,17.46949828,13.61709157,7.306506572,6.139666667,Mississippi,6.24
A31096,Oxford,M,3.820856953,5.868930256,9.922492115,9.714812154,12.01449817,5.934949996,2.645451051,7.209117707,6.532296229,10.0297111,6.896123741,2.122438098,4.102037192,18.87397499,16.75153689,12.6494997,6.738412714,6.36846462,13.05326196,2.938073968,8.826472275,10.52116743,10.54493867,5.791973274,19.38310394,17.56183699,13.69988972,7.334368116,6.402666667,Mississippi,6.44
A31098,Oxford,M,3.95262657,6.114293217,9.757381547,9.432668925,11.92772781,5.836233915,2.393680628,7.045043928,6.21094795,9.743254999,8.064124448,2.066517798,4.180787232,17.9504595,15.8839417,11.70315447,5.872601094,6.449452063,12.40350098,2.567414744,9.256625897,10.87902931,10.03897672,5.365999697,18.53754129,16.65817798,12.90554988,6.456472121,6.132333333,Mississippi,6.358333333
A31099,Oxford,M,3.652764712,5.842345735,8.64072598,8.356400008,11.44297368,5.516593559,2.359841154,6.717173758,5.962232921,9.342034986,6.899571853,1.958333166,3.357026708,16.7553955,14.79706234,11.44003563,6.217583953,5.592478522,12.78217761,2.42836219,7.408045664,8.990376161,8.896097743,4.989826302,17.1599265,15.45115883,12.29152522,6.699482516,5.712,Mississippi,5.806666667
A31100,Oxford,M,4.089178469,6.205713802,10.2737091,10.27741978,12.89139361,6.375720675,2.630385362,7.804717419,6.857888003,10.66448817,7.056858827,2.139612424,4.18444,19.08795444,16.94834201,12.76390201,6.76755648,6.529536685,13.30729179,2.893140201,9.370760504,11.02858739,10.72016479,5.861473989,19.65459109,17.77574756,13.90412432,7.374906405,6.581,Mississippi,6.818333333
A31101,Oxford,M,3.944321327,6.131026555,10.01613252,9.982130202,12.13691404,7.746159117,2.352020733,7.056481606,5.962090012,10.36237508,9.035957715,2.706904102,3.992305776,19.64022428,16.93332018,12.94101441,6.815660667,6.604919828,13.63504467,2.784022725,8.350015597,10.55001079,10.15735491,5.608853168,20.07907978,17.67852791,13.97483102,7.370180171,6.367,Mississippi,6.425
A31103,Oxford,M,3.801146755,6.387592904,9.900290815,9.547027127,12.87005572,6.451436365,2.369040449,7.384136669,6.631332521,10.45358986,8.863219279,2.309018068,3.835657121,18.54804284,16.23902477,12.40336765,6.431507367,6.452767309,13.28089504,2.864550756,8.931561648,10.15177568,10.03881195,5.266700097,19.07808107,16.99707673,13.40179739,6.949743192,6.307333333,Mississippi,6.456666667
A31104,Oxford,M,3.468247594,5.623228336,8.438311422,8.302731479,10.85847296,5.48751753,2.254927126,6.23576104,5.186875104,8.826974697,6.834849322,2.033166805,3.031760914,15.32635336,13.29318655,10.26142564,5.04672981,5.596344238,10.78056995,2.898068572,7.881083502,8.967591871,8.920255963,4.907273633,15.82482714,14.02151166,11.19827209,5.611612135,5.319666667,Mississippi,5.583333333
A31105,Oxford,M,3.646524914,6.198989996,9.521182067,9.32680877,11.76643565,5.817636975,2.367962628,7.012757157,6.070312547,9.854241202,8.401056019,2.414473782,3.967711731,18.42092111,16.00644733,12.0387356,6.441409877,6.045584599,13.07542731,2.673783478,8.835797758,10.1784052,9.860395066,5.609864051,18.94328841,16.74852868,13.07024951,7.025704649,5.793,Mississippi,6.121666667
