Specimen No.,SVL1,SVL2,SVL3,,
29351,66.48,67.64,67.3,,6.714
29352,63.8,63.47,64,,6.375666667
29353,57.06,54.16,53.94,,5.505333333
29354,71.09,70.63,71.45,,7.105666667
29356,63.11,62.33,63.97,,6.313666667
29357,51.8,52.6,52.67,,5.235666667
29358,51.07,51.47,51.37,,5.130333333
29359,60.59,61.42,61.45,,6.115333333
A31093,63.47,63.46,62.43,M,6.312
A31094,61.07,62.18,60.94,M,6.139666667
A31095,52.95,52,51.87,F,5.227333333
A31096,63.24,63.9,64.94,M,6.402666667
A31097,56.01,55.72,54.87,F,5.553333333
A31098,60.99,61.85,61.13,M,6.132333333
A31099,56.12,57.65,57.59,M,5.712
A31100,65.93,65.5,66,M,6.581
A31101,65.89,62.1,63.02,M,6.367
A31102,52.93,52.45,52.19,F,5.252333333
A31103,61.7,63.88,63.64,M,6.307333333
A31104,53.3,52.68,53.61,M,5.319666667
A31105,57.71,57.89,58.19,M,5.793
A31106,63.05,62.04,61.88,M,6.232333333
A31107,50.05,49.52,49.15,F,4.957333333
A31108,63,63.12,61.89,M,6.267
A31109,51.78,51.7,51.03,F,5.150333333
A31110,58.91,58.71,57.94,M,5.852
A31111,59.15,57.53,57.13,M,5.793666667
A31112,23.61,24.21,24.01,J,2.394333333
A31113,48.47,47.54,46.68,F,4.756333333
A31114,53.99,53.39,54.03,M,5.380333333
A31119,65.35,65.29,63.59,M,6.474333333
A31120,60.21,59.5,58.48,M,5.939666667
A31121,61.29,61.76,61.45,M,6.15
A31122,61.85,62.82,62.04,M,6.223666667
A31123,65.03,66.03,65.59,M,6.555
A31124,61.74,59.9,62.14,M,6.126
A31125,63.08,62.6,63.43,M,6.303666667
A31126,65.56,65.25,64.17,M,6.499333333
A31127,60.47,61.87,61.97,M,6.143666667
A31128,60.27,60.77,60.56,M,6.053333333
A31129,51.23,49.61,49.95,F,5.026333333
A31132,63.8,65.43,64.35,M,6.452666667
A31133,63.38,62.33,62.23,M,6.264666667
A31136,66.75,65.44,66.29,M,6.616
A31137,64.11,62.99,62.66,M,6.325333333
A31139,56.88,56.91,55.76,M,5.651666667
A31140,58.4,60.52,58.3,M,5.907333333
A31142,59.13,59.24,60.62,M,5.966333333
A31144,65.38,65.57,65.32,M,6.542333333
A31146,70.94,68.86,68.56,M,6.945333333
A31147,65.36,67.31,66.54,M,6.640333333
A31149,72.21,70.86,70.29,M,7.112
A31153,69.01,70.75,69.17,M,6.964333333
A31154,69.86,70.05,69.14,M,6.968333333
A31155,69.2,69.85,69.41,M,6.948666667
A31156,63.44,63.42,62.22,M,6.302666667
A31157,64.22,63.84,62.6,M,6.355333333
A31158,56.54,57.29,57.2,F,5.701
A31159,57.38,58.66,58.05,F,5.803
A31160,64.19,63.6,64.21,M,6.4
A31161,54.92,55.33,55.41,F,5.522
A31162,65.65,66.49,66.92,M,6.635333333
A31163,57.5,56.9,56.67,F,5.702333333
A31164,49.73,48.92,49.17,F,4.927333333
A31165,63.6,62.28,63.76,M,6.321333333
A31166,51.88,53.86,53.38,F,5.304
A31167,52.93,53.37,51.18,F,5.249333333
A31168,61.39,63.71,62.13,M,6.241
A31169,66.16,66.89,65.6,M,6.621666667
A31170,55.59,56.74,55.55,F,5.596
A31171,61.33,61.47,61.39,M,6.139666667
A31173,62.09,60.56,60.34,M,6.099666667
A31174,69.88,70.06,68.58,M,6.950666667
A31175,49.5,49.97,49.17,F,4.954666667
A31176,56.17,55.17,56.42,F,5.592
A31177,46.71,46.66,45.78,M,4.638333333
A31178,58.98,56.78,57.95,M,5.790333333
A31179,50.73,52.69,50.73,F,5.138333333
A31180,51.64,50.64,50.95,F,5.107666667
A31181,57.05,58.67,58.73,M,5.815
A31182,44.62,43.88,45.87,F,4.479
A31184,56.07,55.71,55.45,M,5.574333333
A31185,47.35,47.6,47.54,F,4.749666667
A31186,61.41,61.55,61.15,M,6.137
A31187,43.72,44.44,44.7,F,4.428666667
A31188,55.63,56.12,55.04,M,5.559666667
A31189,55.45,56.11,55.22,M,5.559333333
A31190,45.9,45.07,44.68,M,4.521666667
A31191,48.25,47.5,47.09,M,4.761333333
A31192,41.73,41.25,40.46,F,4.114666667
A31193,45.57,44.31,45.65,F,4.517666667
A31194,48.38,48.17,47.86,M,4.813666667
A31196,43.23,43.51,44.03,F,4.359
A31197,48.14,47.53,48.71,M,4.812666667
A31198,49.9,47.99,48.55,M,4.881333333
A31199,52.02,52.48,51.81,M,5.210333333
A31200,50.36,49.08,49.64,M,4.969333333
A31201,47.3,48.11,47,M,4.747
A31202,48.94,48.93,47.91,M,4.859333333
A31203,45.86,45.31,44.09,M,4.508666667
A31204,48.81,48.75,48.63,M,4.873
A31205,51.57,51.83,51.73,M,5.171
A31206,51.16,51.55,50.07,M,5.092666667
A31207,47.26,46.72,46.36,M,4.678
A31208,52.46,52.05,52.39,M,5.23
A31210,52.08,52.1,51.98,M,5.205333333
A31211,51.77,52.73,52.23,M,5.224333333
A31212,52.3,51.07,50.33,M,5.123333333
A31213,53.11,53.75,53.44,M,5.343333333
A31214,46.79,46.5,47.12,M,4.680333333
A31215,53.77,54.03,54.29,M,5.403
A31216,56.64,54.81,55.84,M,5.576333333
A31217,49.11,50.06,49.26,M,4.947666667
A31218,53.03,52.64,53.43,M,5.303333333
A31219,54.7,54.45,54.19,M,5.444666667
A31220,51.17,50.37,51.32,M,5.095333333
A31221,55.16,54.07,54.57,M,5.46
A31222,52.86,53.23,54.15,M,5.341333333
A31223,55.55,55.76,54.92,M,5.541
A31224,54.58,53.49,53.92,F,5.399666667
A31225,65.79,65.02,64.34,M,6.505
A31226,68.32,67.81,67.25,M,6.779333333
A31227,64.77,63.41,63.67,M,6.395
A31228,48.94,48.5,48.9,F,4.878
A31229,63.31,63.39,62.27,M,6.299
A31230,51.89,51.62,52.39,F,5.196666667
A31231,53.52,53.19,52.34,F,5.301666667
A31232,55.12,54.46,55.12,F,5.49
A31233,62.65,59.95,59.88,M,6.082666667
A31234,66.64,67.18,66.42,M,6.674666667
A31235,51.35,50.6,51.01,F,5.098666667
A31236,67.16,68.23,66.76,M,6.738333333
A31237,54.53,54.79,55.16,F,5.482666667
A31238,54.19,54.98,52.84,F,5.400333333
A31239,68.53,67.92,67.61,M,6.802
A31240,43.67,42.97,42.65,F,4.309666667
A31241,56.22,55.96,56.26,F,5.614666667
A31242,71.03,73.26,71.01,M,7.176666667
A31243,60.39,61.66,60.4,M,6.081666667
A31244,65.77,65.96,65.03,M,6.558666667
A31245,70.92,68.99,69.07,M,6.966
A31246,65.95,65.67,65.81,M,6.581
A31247,67.81,68.42,66.65,M,6.762666667
A31248,41.82,41.41,41.36,SM,4.153
A31249,62.65,61.41,61.94,M,6.2
A31250,51.28,50.9,51.38,SM,5.118666667
A31251,66.32,65.58,66.73,M,6.621
A31252,71.09,69.63,70.65,M,7.045666667
A31253,52.97,51.34,53.47,F,5.259333333
A31254,65.37,66.27,65.77,M,6.580333333
