lat,long,NDVI,LAI_1km
25.772707,-80.193963,2087.839357,
25.894197,-97.488879,4183.536,
26.858265,-81.9460161,5971.592742,8.29258517
26.993678,-80.1470321,5970.479839,13.428
28.113654,-97.4168891,6095.526104,9.24
28.898232,-80.8518441,5427.41129,10.568
30.226228,-89.6774611,6035.036,18.118
30.243794,-97.7197871,4602.22,
32.768435,-97.0828241,3988.876,
33.548119,-82.036181,5092.779116,12.204
33.878317,-77.9981251,3074.333333,
34.364995,-89.5340281,4056.208,
34.784428,-94.6941161,6826.22,26.382
35.474022,-76.9093241,7372.97992,40.092
35.556111,-84.0147091,5229.345382,7.218
