State,City,Longitude,Latitude,Annual.Mean.Temp,Mean.Diurnal.Range,Isothermality,Temp.Seasonality,Max.Temp.Warmest.Month,Min.Temp.Coldest.Month,Temp.Annual.Range,Mean.Temp.Wettest.Quarter,Mean.Temp.Driest.Quarter,Mean.Temp.Warmest.Quarter,Mean.Temp.Coldest.Quarter,Annual.Precip,Precip.Wettest.Month,Precipitation.Driest.Month,Precip.Seasonality,Precip.Wettest.Quarter,Precip.Driest.Quarter,Precip.Warmest.Quarter,Precip.Coldest.Quarter
Mississippi,Oxford,-89.534028,34.364995,15.8,12.9,38,7686,32.5,-1.2,33.7,15.6,21.4,25.4,5.6,1441,152,82,19,432,262,294,397
Tennessee,Tallassee,-84.014709,35.556111,14.3,13.3,39,7503,30.7,-2.8,33.5,5.7,19.8,23.6,4.3,1376,146,80,15,394,277,351,372
North Carolina,Washington,-76.909324,35.474022,16.2,12,37,7238,31.6,-0.2,31.8,25.2,12,25.2,6.6,1298,157,79,23,431,248,431,288
North Carolina,Bald Head Island,-77.998125,33.878317,17.4,11.9,39,6727,31.5,1.4,30.1,25.4,13.6,25.8,8.5,1403,177,72,31,521,264,484,298
Georgia,Augusta,-82.03618,33.548119,17.1,14.1,42,7178,33.4,0,33.4,9.1,17.6,26.1,7.6,1158,119,67,16,339,224,325,310
Florida,Oak Hill,-80.851844,28.898232,21.5,10.2,44,4558,32.1,9.1,23,26.9,16.5,26.9,15.4,1300,185,57,43,521,189,521,201
Florida,Hobe Sound,-80.147032,26.993678,23.3,10.2,50,3494,32.5,12.4,20.1,27.4,18.5,27.4,18.5,1419,200,61,41,515,199,515,199
Florida,Punta Gorda,-81.946016,26.858265,22.9,11.9,52,3991,33.1,10.5,22.6,27.5,18.4,27.5,17.4,1273,214,37,63,613,141,577,158
Louisiana,Slidell,-89.677461,30.226228,19.6,11.3,40,6123,32.7,4.6,28.1,26.6,15.8,27,11.4,1529,157,74,17,444,319,423,410
Texas,Sinton,-97.416889,28.113654,21.7,11,39,5816,34.5,6.8,27.7,26.3,15,28.6,13.7,881,153,32,44,329,137,258,145
Texas,Brownsville,-97.488879,25.894197,23.2,9.8,41,4853,34.1,10.5,23.6,27,17.7,28.8,16.5,688,146,23,55,287,93,183,108
Texas,Austin,-97.719787,30.243794,20.2,12.2,38,6972,35.7,3.9,31.8,24.1,12.4,28.8,10.9,804,109,36,33,269,154,175,161
Texas,Arlington,-97.082824,32.768435,18.6,12,34,7877,35.4,1,34.4,22.7,9.5,28.5,8.2,877,126,47,31,303,157,191,158
Oklahoma,Cedar Creek,-94.694116,34.784428,15.4,14.1,37,8116,33.8,-3.8,37.6,15.4,4.5,25.5,4.5,1250,166,63,23,397,234,283,234
Florida,Miami,-80.193963,25.772707,24.3,6.8,44,3035,31.3,16,15.3,27.1,20.1,27.8,20.1,1267,196,46,48,460,159,430,159
