ID,State,City,Sex,Mass
31093,Mississippi,Oxford,M,4.39
31094,Mississippi,Oxford,M,5.38
31095,Mississippi,Oxford,F,3.23
31096,Mississippi,Oxford,M,5.02
31097,Mississippi,Oxford,F,4.01
31098,Mississippi,Oxford,M,4.98
31099,Mississippi,Oxford,M,3.3
31100,Mississippi,Oxford,M,5.41
31101,Mississippi,Oxford,M,4.93
31102,Mississippi,Oxford,F,3.23
31103,Mississippi,Oxford,M,4.82
31104,Mississippi,Oxford,M,3.06
31105,Mississippi,Oxford,M,4.33
31106,Mississippi,Oxford,M,5.01
31107,Mississippi,Oxford,F,3.14
31108,Mississippi,Oxford,M,4.14
31109,Mississippi,Oxford,F,3.39
31110,Mississippi,Oxford,M,4.85
31111,Mississippi,Oxford,M,4
31112,Mississippi,Oxford,J,
31113,Mississippi,Oxford,F,2.73
31114,Mississippi,Oxford,M,3.05
31115,Tennessee,Tallassee,M,3.68
31116,Tennessee,Tallassee,F,2.29
31117,Tennessee,Tallassee,F,2.68
31118,Tennessee,Tallassee,F,4.02
31119,Tennessee,Tallassee,M,5.41
31120,Tennessee,Tallassee,M,4.26
31121,Tennessee,Tallassee,M,5.36
31122,Tennessee,Tallassee,M,4.95
31123,Tennessee,Tallassee,M,6.61
31124,Tennessee,Tallassee,M,4.74
31125,Tennessee,Tallassee,M,4.85
31126,Tennessee,Tallassee,M,5.61
31127,Tennessee,Tallassee,M,4.95
31128,Tennessee,Tallassee,M,5.13
31129,Tennessee,Tallassee,F,2.85
31130,Tennessee,Tallassee,F,3.25
31131,Tennessee,Tallassee,F,3.65
31132,Tennessee,Tallassee,M,5.53
31133,Tennessee,Tallassee,M,5.07
31134,Tennessee,Tallassee,F,3.24
31135,Tennessee,Tallassee,F,2.72
31136,North Carolina,Washington,M,6.14
31137,North Carolina,Washington,M,5.21
31138,North Carolina,Washington,F,3.59
31139,North Carolina,Washington,M,3.7
31140,North Carolina,Washington,M,4.83
31141,North Carolina,Washington,F,2.64
31142,North Carolina,Washington,M,4.95
31143,South Carolina,Salters,M,4.31
31144,North Carolina,Bald Head Island,M,6.6
31145,North Carolina,Bald Head Island,M,4.21
31146,North Carolina,Bald Head Island,M,6.22
31147,North Carolina,Bald Head Island,M,5.88
31148,North Carolina,Bald Head Island,F,3.31
31149,North Carolina,Bald Head Island,M,6.74
31150,North Carolina,Bald Head Island,F,4.31
31151,North Carolina,Bald Head Island,F,2.56
31152,North Carolina,Bald Head Island,F,2.75
31153,North Carolina,Bald Head Island,M,6.91
31154,North Carolina,Bald Head Island,M,7.45
31155,North Carolina,Bald Head Island,M,6.88
31156,Georgia,Augusta,M,5.61
31157,Georgia,Augusta,M,5.82
31158,Georgia,Augusta,F,4.56
31159,Georgia,Augusta,F,4.91
31160,Georgia,Augusta,M,6.24
31161,Georgia,Augusta,F,4.57
31162,Georgia,Augusta,M,6.85
31163,Georgia,Augusta,F,5.18
31164,Georgia,Augusta,F,2.76
31165,Georgia,Augusta,M,4.22
31166,Georgia,Augusta,F,3.79
31167,Georgia,Augusta,F,2.78
31168,Georgia,Augusta,M,5.92
31169,Georgia,Augusta,M,5.65
31170,Georgia,Augusta,F,4.63
31171,Georgia,Augusta,M,5.83
31172,Georgia,Augusta,M,5.13
31173,Georgia,Augusta,M,3.83
31174,Georgia,Augusta,M,7.09
31175,Georgia,Augusta,F,3.07
31176,Georgia,Augusta,F,4.17
31177,Georgia,Augusta,M,2.51
31178,Florida,Oak Hill,M,3.74
31179,Florida,Oak Hill,F,2.77
31180,Florida,Oak Hill,F,2.29
31181,Florida,Oak Hill,M,3.6
31182,Florida,Oak Hill,F,2.17
31183,Florida,Oak Hill,M,3.38
31184,Florida,Oak Hill,M,3.31
31185,Florida,Oak Hill,F,2.25
31186,Florida,Oak Hill,M,5.37
31187,Florida,Oak Hill,F,1.99
31188,Florida,Oak Hill,M,3.78
31189,Florida,Oak Hill,M,3.31
31190,Florida,Hobe Sound,M,1.94
31191,Florida,Hobe Sound,M,2.12
31192,Florida,Hobe Sound,F,1.51
31193,Florida,Hobe Sound,F,1.8
31194,Florida,Hobe Sound,M,2.03
31195,Florida,Hobe Sound,M,2.06
31196,Florida,Hobe Sound,F,1.79
31197,Florida,Hobe Sound,M,2.06
31198,Florida,Hobe Sound,M,2.36
31199,Florida,Hobe Sound,M,2.42
31200,Florida,Hobe Sound,M,2.22
31201,Florida,Hobe Sound,M,2.13
31202,Florida,Hobe Sound,M,2.39
31203,Florida,Hobe Sound,M,1.67
31204,Florida,Hobe Sound,M,1.93
31205,Florida,Punta Gorda,M,2.51
31206,Florida,Punta Gorda,M,2.75
31207,Florida,Punta Gorda,M,1.81
31208,Florida,Punta Gorda,M,2.35
31209,Florida,Punta Gorda,M,2.54
31210,Florida,Punta Gorda,M,2.59
31211,Florida,Punta Gorda,M,2.45
31212,Florida,Punta Gorda,M,2.39
31213,Florida,Punta Gorda,M,2.66
31214,Florida,Punta Gorda,M,1.7
31215,Florida,Punta Gorda,M,2.35
31216,Florida,Punta Gorda,M,2.68
31217,Florida,Punta Gorda,M,2.18
31218,Florida,Punta Gorda,M,2.98
31219,Florida,Punta Gorda,M,2.74
31220,Florida,Punta Gorda,M,2.08
31221,Florida,Punta Gorda,M,3.21
31222,Florida,Punta Gorda,M,2.52
31223,Florida,Punta Gorda,M,2.98
31224,Louisiana,St.Tammany Parish,F,3.56
31225,Louisiana,St.Tammany Parish,M,5.26
31226,Louisiana,St.Tammany Parish,M,6.44
31227,Louisiana,St.Tammany Parish,M,5.4
31228,Louisiana,St.Tammany Parish,F,2.8
31229,Louisiana,St.Tammany Parish,M,6.37
31230,Louisiana,St.Tammany Parish,F,2.88
31231,Louisiana,St.Tammany Parish,F,3.44
31232,Louisiana,St.Tammany Parish,F,3.82
31233,Louisiana,St.Tammany Parish,M,4.55
31234,Texas,Sinton,M,5.59
31235,Texas,Sinton,F,3.09
31236,Texas,Sinton,M,6.3
31237,Texas,Sinton,F,4.05
31238,Texas,Sinton,F,3.59
31239,Texas,Sinton,M,5.63
31240,Texas,Sinton,F,1.68
31241,Texas,Sinton,F,3.5
31242,Texas,Brownsville,M,6.53
31243,Texas,Brownsville,M,4.07
31244,Texas,Brownsville,M,5.17
31245,Texas,Austin,M,5.29
31246,Texas,Austin,M,4.87
31247,Texas,Austin,M,5.84
31248,Texas,Austin,SM,1.61
31249,Texas,Austin,M,4.04
31250,Texas,Austin,SM,2.58
31251,Texas,Austin,M,5.51
31252,Texas,Austin,M,6.5
31253,Texas,Austin,F,3.34
31254,Texas,Austin,M,4.96
31255,Texas,Austin,F,3.6
31256,Texas,Arlington,F,2.91
31257,Texas,Arlington,F,4.05
31258,Texas,Arlington,M,4.34
31259,Texas,Arlington,F,3.47
31260,Texas,Arlington,M,3.75
31261,Texas,Arlington,F,3.25
31262,Texas,Arlington,SM,2.09
31263,Texas,Arlington,M,5.56
31264,Texas,Arlington,F,2.81
31265,Texas,Arlington,M,5.24
31266,Texas,Arlington,F,2.75
31267,Oklahoma,Cedar Creek,F,4.07
31268,Oklahoma,Cedar Creek,M,5.51
31269,Oklahoma,Cedar Creek,F,2.67
31270,Oklahoma,Cedar Creek,M,6.11
31271,Oklahoma,Cedar Creek,SM,2.4
31272,Oklahoma,Cedar Creek,SM,2.08
31273,Oklahoma,Cedar Creek,F,3.65
31274,Oklahoma,Cedar Creek,M,4.17
31275,Oklahoma,Cedar Creek,M,5.45
31276,Oklahoma,Cedar Creek,M,5.79
